"analysis","term","n","estimate","standard_error","ci_low","ci_high","statistic","p_value","reference_distribution","inference_df","design_df","residual_design_df"
"Omega-3 supplement vs other supplements only","active_omega3",1710,0.148892103075752,0.0402276460692684,0.063613302998313,0.234170903153191,3.70123826831362,0.00193729375578931,"t",16,32,16
"Any omega-3 supplement vs non-use: 2011-2012","omega_user_30d",1191,0.15744996957595,0.0608338260665725,0.038217861443694,0.276682077708206,2.58819771427244,0.00964795857052173,"normal",Inf,17,1
"Any omega-3 supplement vs non-use: 2013-2014","omega_user_30d",1400,0.139451749210175,0.0349089540944347,0.071031456447121,0.207872041973229,3.99472722193091,6.47687794615234e-05,"normal",Inf,15,-1
"Omega-3 use by survey-cycle interaction","omega_user_30d:cycle2013-2014",2591,-0.0318309471622098,0.0711621991851604,-0.184458684657497,0.120796790333077,-0.447301341536499,0.661500048268983,"t",14,32,14
